ID,Age,Power,Value_vehicle,Premium,N_claims_history,R_Claims_history,Seniority,Channel_label,Risk_label,total_claim_cost_by_type,n_claim_records,dominant_claim_type,segment
26,55,71.0,14450.0,34323.5,0,0,2,Broker,Binek araç,0.0,0.0,,1
27,56,109.0,330368.0,28309.0,0,0,1,Broker,Van,0.0,0.0,,1
28,57,116.0,18700.0,33008.67,2,52,4,Acente,Binek araç,33202.0,1.0,complaint,1
29,54,110.0,21465.0,44523.0,0,0,4,Acente,Binek araç,0.0,0.0,,1
30,77,110.0,19390.0,31108.67,0,0,3,Broker,Binek araç,0.0,0.0,,1
31,77,110.0,16400.0,33342.33,0,0,3,Broker,Binek araç,0.0,0.0,,1
32,36,100.0,18400.0,23623.5,2,69,4,Acente,Binek araç,0.0,0.0,,1
33,66,75.0,13220.0,25217.5,0,0,2,Broker,Binek araç,0.0,0.0,,1
34,67,75.0,33400.0,25765.0,0,0,2,Broker,Binek araç,0.0,0.0,,1
35,63,60.0,873271.0,24927.0,0,0,3,Acente,Binek araç,0.0,0.0,,1
36,31,115.0,23900.0,14746.5,3,75,9,Broker,Binek araç,5735.0,1.0,travel assistance,1
37,57,78.0,1415384.0,27123.0,7,1,9,Acente,Van,0.0,0.0,,0
38,58,75.0,17971.0,36678.5,0,0,7,Broker,Van,0.0,0.0,,1
39,57,90.0,1144928.0,18619.67,10,163,7,Broker,Binek araç,0.0,0.0,,2
40,73,84.0,1489695.0,28442.5,0,0,8,Acente,Binek araç,0.0,0.0,,1
41,77,115.0,1953289.0,16610.33,4,34,12,Acente,Binek araç,0.0,0.0,,0
42,60,136.0,23450.0,37517.5,1,1,2,Broker,Binek araç,575.0,1.0,travel assistance,1
43,55,150.0,4752749.0,68993.0,2,0,1,Broker,Binek araç,0.0,0.0,,1
44,55,150.0,69000.0,37667.0,2,0,1,Broker,Binek araç,0.0,0.0,,1
45,51,65.0,12600.0,29299.0,0,0,2,Broker,Binek araç,0.0,0.0,,1
46,53,75.0,12040.0,32022.0,1,0,3,Broker,Binek araç,0.0,0.0,,1
47,50,95.0,1616723.0,11153.0,4,36,12,Acente,Binek araç,0.0,0.0,,0
48,50,95.0,40220.0,26438.0,4,0,12,Acente,Binek araç,0.0,0.0,,0
49,52,4.0,1949.0,9347.0,0,0,1,Broker,Motorsiklet,0.0,0.0,,1
50,48,77.0,6599.0,12730.0,0,0,5,Acente,Motorsiklet,0.0,0.0,,1
51,47,82.0,13910.0,56994.0,2,56,4,Acente,Binek araç,0.0,0.0,,1
52,76,75.0,2087868.0,25717.0,0,0,3,Broker,Binek araç,0.0,0.0,,1
53,75,72.0,10515.0,31123.67,0,0,4,Broker,Binek araç,0.0,0.0,,1
54,73,105.0,21090.0,28623.0,0,0,3,Acente,Binek araç,0.0,0.0,,1
55,73,160.0,25370.0,34144.0,0,0,2,Acente,Binek araç,0.0,0.0,,1
56,69,64.0,2487594.0,41156.0,6,223,1,Broker,Van,0.0,0.0,,2
57,66,65.0,12230.0,30021.5,0,0,4,Broker,Binek araç,0.0,0.0,,1
58,61,100.0,1256115.0,26488.0,1,0,4,Acente,Binek araç,0.0,0.0,,1
59,61,110.0,23285.0,23317.0,2,0,3,Broker,Binek araç,0.0,0.0,,1
60,61,75.0,11010.0,30339.5,5,25,3,Acente,Binek araç,13890.0,2.0,travel assistance,1
61,57,90.0,1168969.0,30688.0,9,75,9,Acente,Binek araç,0.0,0.0,,0
62,58,90.0,22900.0,27595.33,9,0,9,Acente,Binek araç,0.0,0.0,,0
63,58,90.0,18000.0,37664.0,9,0,9,Acente,Binek araç,0.0,0.0,,0
64,59,90.0,19460.0,17527.0,9,0,9,Acente,Binek araç,0.0,0.0,,0
65,59,90.0,16100.0,236.0,9,0,9,Acente,Binek araç,0.0,0.0,,0
66,58,109.0,2728241.0,35279.0,2,2,2,Broker,Van,0.0,0.0,,1
67,58,68.0,1313211.0,25271.0,3,19,4,Acente,Binek araç,0.0,0.0,,1
68,58,68.0,23535.0,27512.0,3,0,4,Acente,Binek araç,0.0,0.0,,1
69,55,90.0,1404367.0,26915.0,0,0,4,Broker,Binek araç,0.0,0.0,,1
70,58,90.0,17205.0,17207.67,7,1,3,Broker,Binek araç,0.0,0.0,,1
71,56,90.0,18250.0,26642.0,7,149,3,Broker,Binek araç,0.0,0.0,,2
72,57,10.0,1999.0,7067.0,0,0,3,Acente,Motorsiklet,0.0,0.0,,1
73,55,121.0,17200.0,44218.0,0,0,4,Broker,Binek araç,0.0,0.0,,1
74,57,86.0,1445434.0,40924.0,4,0,4,Acente,Binek araç,0.0,0.0,,1
75,57,86.0,2022579.0,4417.0,4,0,4,Acente,Van,0.0,0.0,,1
76,76,55.0,7800.0,18147.0,2,5,5,Broker,Binek araç,0.0,0.0,,1
77,37,75.0,11910.0,28782.5,1,5,3,Acente,Binek araç,157493.0,1.0,complaint,1
78,67,90.0,15995.0,32304.33,5,54,8,Acente,Binek araç,25736.0,1.0,complaint,1
79,47,130.0,24400.0,35224.5,0,0,2,Broker,Binek araç,0.0,0.0,,1
80,44,58.0,1064993.0,31489.0,4,2,3,Broker,Binek araç,0.0,0.0,,1
81,32,6.0,1490.0,18484.0,0,0,1,Acente,Motorsiklet,0.0,0.0,,1
82,75,75.0,13269.0,36766.0,2,33,7,Broker,Van,0.0,0.0,,1
83,39,90.0,21005.0,32917.0,5,167,3,Acente,Binek araç,0.0,0.0,,2
84,73,95.0,1373313.0,24053.0,0,0,1,Broker,Binek araç,0.0,0.0,,1
85,66,120.0,2977001.0,46892.0,0,0,1,Acente,Binek araç,0.0,0.0,,1
86,62,109.0,27625.0,3587.0,0,0,2,Broker,Binek araç,0.0,0.0,,1
87,63,90.0,17270.0,27624.0,3,18,20,Acente,Binek araç,0.0,0.0,,0
88,62,90.0,2237568.0,25865.5,1,73,2,Acente,Binek araç,0.0,0.0,,1
89,60,72.0,10165.0,22242.0,0,0,3,Acente,Binek araç,0.0,0.0,,1
90,72,80.0,1138918.0,23412.0,0,0,1,Acente,Binek araç,0.0,0.0,,1
91,72,80.0,19100.0,23577.0,0,0,1,Acente,Binek araç,0.0,0.0,,1
92,66,60.0,981843.0,21859.33,29,15,7,Acente,Van,0.0,0.0,,0
93,65,60.0,440105.0,53745.0,29,284,7,Acente,Binek araç,0.0,0.0,,2
94,58,110.0,22780.0,34709.0,0,0,6,Acente,Van,0.0,0.0,,1
95,71,90.0,16645.0,47903.0,2,323,1,Acente,Binek araç,47166.0,2.0,broken windows,2
96,70,90.0,1841814.0,21515.0,3,39,3,Acente,Van,5639.0,1.0,travel assistance,1
97,61,88.0,217964.0,32041.33,0,0,4,Broker,Van,0.0,0.0,,1
98,52,115.0,18705.0,28519.67,4,6,7,Broker,Binek araç,0.0,0.0,,1
99,54,11.0,2099.0,1017.0,0,0,1,Broker,Motorsiklet,0.0,0.0,,1
100,47,62.0,8999.0,1407.0,1,1,2,Broker,Motorsiklet,0.0,0.0,,1
101,47,90.0,14067.0,30055.33,5,62,4,Broker,Binek araç,0.0,0.0,,1
102,60,100.0,2313897.0,29151.0,0,0,1,Broker,Binek araç,0.0,0.0,,1
103,57,110.0,1412378.0,14945.0,2,4,6,Broker,Binek araç,6725.0,1.0,travel assistance,1
104,42,140.0,29700.0,62710.33,0,0,7,Broker,Binek araç,0.0,0.0,,1
105,70,90.0,18550.0,89173.5,5,167,4,Broker,Binek araç,0.0,0.0,,2
106,61,60.0,1179186.0,22244.0,5,0,7,Acente,Binek araç,0.0,0.0,,1
107,51,95.0,20270.0,29740.0,0,0,5,Broker,Van,0.0,0.0,,1
108,51,95.0,11890.0,47131.0,0,0,5,Broker,Binek araç,0.0,0.0,,1
109,70,70.0,1522499.0,2399.0,7,0,17,Acente,Binek araç,0.0,0.0,,0
110,68,90.0,17920.0,29349.5,1,1,2,Broker,Binek araç,30546.0,1.0,broken windows,1
111,69,136.0,2070086.0,35741.0,1,1,2,Broker,Binek araç,0.0,0.0,,1
112,68,45.0,601253.0,21852.0,3,0,11,Acente,Binek araç,0.0,0.0,,1
113,65,63.0,855054.0,22316.5,3,0,13,Acente,Binek araç,0.0,0.0,,0
114,74,115.0,21090.0,22426.5,4,1,5,Broker,Binek araç,18812.0,3.0,travel assistance,1
115,75,224.0,60800.0,78016.5,2,141,2,Acente,Binek araç,0.0,0.0,,2
116,70,75.0,16270.0,30473.0,1,92,2,Broker,Binek araç,0.0,0.0,,1
117,60,105.0,19300.0,31432.0,5,38,15,Acente,Binek araç,0.0,0.0,,0
118,62,0.0,3699.0,9090.0,0,0,6,Acente,Motorsiklet,0.0,0.0,,1
119,51,109.0,22700.0,3768.0,0,0,2,Broker,Binek araç,0.0,0.0,,1
120,53,78.0,77991.0,24614.0,0,0,4,Acente,Binek araç,0.0,0.0,,1
121,54,78.0,832402.0,23196.0,0,0,4,Acente,Binek araç,0.0,0.0,,1
122,53,85.0,15365.0,9837.33,6,42,4,Broker,Binek araç,6062.0,1.0,travel assistance,1
123,52,85.0,16800.0,33677.0,6,0,4,Broker,Binek araç,0.0,0.0,,1
124,55,86.0,1581744.0,36271.5,0,0,2,Acente,Van,0.0,0.0,,1
125,44,115.0,22060.0,29127.0,0,0,1,Broker,Binek araç,0.0,0.0,,1
126,45,100.0,23850.0,67979.0,2,0,2,Broker,Van,0.0,0.0,,1
127,47,92.0,1630546.0,2914.0,3,67,5,Acente,Van,0.0,0.0,,1
128,46,92.0,539868.0,22074.0,3,5,5,Acente,Binek araç,0.0,0.0,,1
129,44,125.0,2521246.0,31759.0,4,0,10,Acente,Binek araç,0.0,0.0,,1
130,35,150.0,31250.0,18848.67,3,145,3,Broker,Binek araç,0.0,0.0,,2
131,71,58.0,10719.0,20692.33,0,0,7,Acente,Binek araç,0.0,0.0,,1
132,60,90.0,1135913.0,20991.0,0,0,1,Broker,Binek araç,0.0,0.0,,1
133,60,90.0,10730.0,23042.0,0,0,3,Acente,Binek araç,0.0,0.0,,1
134,56,109.0,205532.0,21315.0,3,0,5,Broker,Van,0.0,0.0,,1
135,48,92.0,11195.0,39292.67,0,0,6,Acente,Motorsiklet,0.0,0.0,,1
136,46,14.0,3465.0,11539.0,0,0,1,Acente,Motorsiklet,0.0,0.0,,1
137,43,76.0,1665405.0,63098.0,3,202,2,Broker,Van,6506.0,1.0,travel assistance,2
138,35,110.0,21465.0,56757.0,8,33,1,Acente,Binek araç,0.0,0.0,,1
139,36,110.0,19400.0,29249.0,0,0,1,Acente,Binek araç,0.0,0.0,,1
140,38,120.0,22110.0,27978.5,2,2,2,Acente,Binek araç,5936.0,2.0,negligence,1
141,42,104.0,23508.0,38805.0,1,14,9,Broker,Van,0.0,0.0,,1
142,46,100.0,13700.0,20650.0,0,0,12,Acente,Motorsiklet,0.0,0.0,,1
143,53,11.0,211651.0,11069.33,4,0,3,Acente,Motorsiklet,0.0,0.0,,1
144,62,65.0,18325.0,26424.0,8,1,5,Broker,Binek araç,0.0,0.0,,1
145,63,65.0,1201243.0,30681.0,8,231,5,Broker,Binek araç,0.0,0.0,,2
146,50,144.0,18720.0,40407.67,11,37,12,Acente,Binek araç,0.0,0.0,,0
147,51,50.0,553532.0,13898.67,0,0,3,Acente,Binek araç,0.0,0.0,,1
148,50,20.0,5108.0,10996.0,0,0,2,Broker,Motorsiklet,0.0,0.0,,1
149,54,130.0,25980.0,45747.0,0,0,1,Acente,Binek araç,0.0,0.0,,1
150,48,184.0,4302356.0,29603.0,1,105,1,Acente,Binek araç,40959.0,1.0,complaint,1
151,49,90.0,12590.0,40355.0,0,0,1,Acente,Binek araç,0.0,0.0,,1
152,47,68.0,24080.0,57738.5,12,133,4,Broker,Binek araç,0.0,0.0,,2
153,47,68.0,28870.0,1725.0,12,217,4,Broker,Binek araç,0.0,0.0,,2
154,36,130.0,22960.0,2666.0,0,0,5,Broker,Binek araç,0.0,0.0,,1
155,39,130.0,52350.0,49775.5,0,0,5,Broker,Binek araç,0.0,0.0,,1
156,61,59.0,7900.0,13452.33,4,42,7,Acente,Binek araç,8234.0,1.0,travel assistance,1
157,31,58.0,11149.0,35355.5,2,1,4,Broker,Binek araç,8462.0,1.0,complaint,1
158,33,58.0,13420.0,34070.5,2,0,4,Broker,Binek araç,0.0,0.0,,1
159,40,65.0,1159172.0,16098.33,2,22,6,Acente,Binek araç,0.0,0.0,,1
160,40,65.0,10810.0,11442.5,2,0,6,Acente,Binek araç,0.0,0.0,,1
161,43,136.0,22050.0,33682.0,4,2,3,Acente,Binek araç,0.0,0.0,,1
162,59,100.0,20770.0,28943.0,0,0,1,Acente,Binek araç,0.0,0.0,,1
163,58,71.0,8900.0,22040.0,3,46,7,Acente,Binek araç,5195.0,1.0,travel assistance,1
164,77,0.0,3999.0,7403.0,0,0,5,Broker,Motorsiklet,0.0,0.0,,1
165,75,60.0,11230.0,215.0,0,0,9,Acente,Binek araç,0.0,0.0,,1
166,53,140.0,24550.0,29568.67,2,0,10,Broker,Binek araç,0.0,0.0,,1
167,51,125.0,23425.0,73016.0,0,0,1,Broker,Binek araç,0.0,0.0,,1
168,51,100.0,16566.0,41953.67,6,144,5,Acente,Binek araç,0.0,0.0,,2
169,46,133.0,22568.0,21802.0,0,0,3,Acente,Binek araç,0.0,0.0,,1
170,48,60.0,9830.0,24002.5,2,184,2,Broker,Binek araç,2761.0,2.0,negligence,2
171,44,15.0,3099.0,12004.33,1,29,4,Broker,Motorsiklet,6711.0,1.0,travel assistance,1
172,44,245.0,72900.0,32816.0,1,392,4,Acente,Binek araç,0.0,0.0,,2
173,74,100.0,17360.0,28322.33,0,0,19,Broker,Binek araç,0.0,0.0,,0
174,40,75.0,1252509.0,28397.0,11,73,16,Broker,Binek araç,0.0,0.0,,0
175,62,105.0,17095.0,16564.67,5,62,9,Acente,Binek araç,0.0,0.0,,0
176,63,102.0,262218.0,34092.33,0,0,5,Acente,Van,0.0,0.0,,1
177,58,90.0,1772986.0,36198.5,2,14,2,Acente,Binek araç,21377.0,2.0,broken windows,1
178,55,110.0,22890.0,31556.0,1,148,1,Broker,Van,0.0,0.0,,2
179,52,110.0,17805.0,32065.0,0,0,2,Broker,Binek araç,0.0,0.0,,1
180,49,12.0,3271.0,10169.0,0,0,1,Acente,Motorsiklet,0.0,0.0,,1
181,49,88.0,13450.0,28740.5,0,0,2,Broker,Binek araç,0.0,0.0,,1
182,48,136.0,26150.0,27006.0,5,20,1,Broker,Binek araç,0.0,0.0,,1
183,49,140.0,30930.0,35757.5,0,0,2,Broker,Binek araç,0.0,0.0,,1
184,36,114.0,25550.0,54779.33,1,0,8,Broker,Binek araç,0.0,0.0,,1
185,54,100.0,2055284.0,32685.67,0,0,3,Broker,Van,0.0,0.0,,1
186,32,99.0,17470.0,38937.5,1,0,2,Broker,Binek araç,0.0,0.0,,1
187,46,115.0,239815.0,27892.0,1,326,1,Acente,Binek araç,0.0,0.0,,2
188,43,115.0,20870.0,28107.0,0,0,1,Acente,Binek araç,0.0,0.0,,1
189,56,100.0,19220.0,24088.33,9,68,12,Broker,Binek araç,0.0,0.0,,0
190,35,64.0,14690.0,31141.0,0,0,3,Broker,Binek araç,0.0,0.0,,1
191,46,100.0,2323954.0,29366.0,2,2,2,Acente,Binek araç,0.0,0.0,,1
192,58,70.0,13580.0,2548.0,14,87,8,Broker,Binek araç,0.0,0.0,,0
193,74,51.0,8295.0,20454.0,1,1,2,Acente,Binek araç,0.0,0.0,,1
194,61,0.0,3099.0,23278.0,3,0,10,Acente,Motorsiklet,0.0,0.0,,1
195,77,136.0,2739293.0,26504.0,0,0,4,Acente,Binek araç,0.0,0.0,,1
196,30,136.0,2944166.0,50099.0,0,0,1,Acente,Van,0.0,0.0,,1
197,62,60.0,1107665.0,24685.0,6,0,22,Acente,Van,0.0,0.0,,0
198,59,60.0,881084.0,22348.0,0,0,2,Broker,Binek araç,0.0,0.0,,1
199,58,116.0,28500.0,44270.0,1,27,19,Broker,Binek araç,0.0,0.0,,0
200,50,95.0,17950.0,41093.0,6,0,11,Acente,Binek araç,0.0,0.0,,0
201,54,65.0,1514968.0,47052.0,0,0,1,Acente,Binek araç,0.0,0.0,,1
202,47,110.0,23540.0,28742.0,10,34,8,Acente,Binek araç,0.0,0.0,,0
203,49,110.0,26850.0,52215.0,10,73,8,Acente,Binek araç,14913.0,1.0,travel assistance,0
204,49,110.0,19340.0,43346.0,10,0,8,Acente,Binek araç,0.0,0.0,,0
205,48,90.0,18943.0,21953.0,1,109,1,Broker,Binek araç,0.0,0.0,,1
206,45,63.0,19400.0,12406.0,0,0,2,Acente,Motorsiklet,0.0,0.0,,1
207,43,11.0,2100.0,9722.0,0,0,1,Acente,Motorsiklet,0.0,0.0,,1
208,56,75.0,13390.0,33794.0,6,167,2,Acente,Van,0.0,0.0,,2
209,65,105.0,19445.0,30190.33,2,46,5,Broker,Binek araç,4995.0,1.0,travel assistance,1
210,44,90.0,18840.0,23810.0,1,0,2,Broker,Binek araç,0.0,0.0,,1
211,35,150.0,25270.0,33789.0,0,0,2,Broker,Binek araç,0.0,0.0,,1
212,45,92.0,17740.0,28079.0,10,71,14,Acente,Binek araç,0.0,0.0,,0
213,67,11.0,1599.0,7187.0,0,0,3,Broker,Motorsiklet,0.0,0.0,,1
214,66,90.0,963062.0,24896.67,11,125,7,Acente,Binek araç,0.0,0.0,,2
215,49,110.0,16410.0,37144.67,1,37,3,Broker,Van,93276.0,1.0,broken windows,1
216,49,110.0,1183994.0,35782.0,1,0,3,Broker,Van,0.0,0.0,,1
217,59,90.0,1800065.0,53987.0,0,0,4,Broker,Binek araç,0.0,0.0,,1
218,55,60.0,11930.0,20432.0,0,0,1,Broker,Binek araç,0.0,0.0,,1
219,53,130.0,27450.0,45535.5,1,1,2,Broker,Binek araç,0.0,0.0,,1
220,54,109.0,18670.0,29910.0,6,118,5,Acente,Van,0.0,0.0,,2
221,48,101.0,15850.0,36541.0,1,18,6,Acente,Binek araç,0.0,0.0,,1
222,66,65.0,16540.0,17926.0,12,0,6,Broker,Van,0.0,0.0,,0
223,21,90.0,18550.0,37619.0,0,0,1,Acente,Binek araç,0.0,0.0,,1
224,47,75.0,14570.0,389.0,3,1,2,Broker,Binek araç,0.0,0.0,,1
225,47,75.0,3239455.0,35768.0,3,199,2,Broker,Binek araç,0.0,0.0,,2
226,36,90.0,2032322.0,27213.0,4,175,2,Acente,Binek araç,0.0,0.0,,2
227,29,90.0,17690.0,51916.0,4,6,7,Broker,Binek araç,0.0,0.0,,1
228,36,120.0,1893188.0,36779.0,1,5,3,Broker,Binek araç,187033.0,1.0,negligence,1
229,72,60.0,2304881.0,48804.33,11,1,6,Acente,Binek araç,0.0,0.0,,0
230,71,60.0,16710.0,35884.0,11,403,6,Acente,Binek araç,0.0,0.0,,2
231,72,60.0,835407.0,23517.0,11,0,6,Acente,Binek araç,0.0,0.0,,0
232,71,75.0,15300.0,20279.67,1,2,6,Broker,Binek araç,0.0,0.0,,1
233,68,75.0,13690.0,22001.0,12,43,15,Acente,Binek araç,0.0,0.0,,0
234,68,75.0,16370.0,23543.0,12,5,15,Acente,Binek araç,0.0,0.0,,0
235,66,100.0,1765173.0,29585.33,1,29,16,Acente,Binek araç,5209.0,1.0,travel assistance,0
236,62,122.0,22562.0,34271.0,2,25,9,Acente,Van,0.0,0.0,,1
237,57,100.0,1412378.0,19028.67,2,15,15,Acente,Binek araç,0.0,0.0,,0
238,58,100.0,15736.0,22324.5,2,0,15,Acente,Binek araç,0.0,0.0,,0
239,55,117.0,20000.0,28635.0,5,0,4,Acente,Binek araç,0.0,0.0,,1
240,53,100.0,1617995.0,33795.0,1,225,1,Acente,Binek araç,0.0,0.0,,2
241,32,37.0,4990.0,18939.67,2,23,5,Broker,Motorsiklet,0.0,0.0,,1
242,33,140.0,23100.0,18302.0,3,0,3,Acente,Binek araç,0.0,0.0,,1
243,38,60.0,983256.0,27467.0,5,213,4,Acente,Binek araç,0.0,0.0,,2
244,37,60.0,1119686.0,25227.0,5,202,4,Acente,Binek araç,0.0,0.0,,2
245,47,70.0,12620.0,30681.33,10,96,12,Acente,Binek araç,0.0,0.0,,0
246,57,110.0,2846759.0,31338.0,0,0,1,Broker,Van,0.0,0.0,,1
247,48,5.0,1599.0,12845.0,1,0,2,Acente,Motorsiklet,0.0,0.0,,1
248,55,60.0,1107665.0,21484.0,0,0,1,Acente,Van,0.0,0.0,,1
249,44,68.0,1634152.0,29813.5,2,1,3,Broker,Van,9453.0,2.0,travel assistance,1
250,73,60.0,1107665.0,28398.0,3,2,16,Acente,Van,0.0,0.0,,0
251,72,64.0,12706.0,24732.0,2,1,3,Acente,Binek araç,0.0,0.0,,1
252,76,81.0,42920.0,7141.67,0,0,8,Acente,Tarım aracı,0.0,0.0,,1
253,45,105.0,2069268.0,27598.0,1,33,4,Broker,Binek araç,0.0,0.0,,1
254,33,110.0,23460.0,29864.0,0,0,1,Broker,Binek araç,0.0,0.0,,1
255,69,90.0,19790.0,30267.75,1,17,20,Broker,Binek araç,0.0,0.0,,0
256,26,110.0,23540.0,31799.0,0,0,4,Broker,Binek araç,0.0,0.0,,1
257,65,207.0,45400.0,17126.5,3,0,7,Acente,Binek araç,0.0,0.0,,1
258,65,60.0,1108867.0,17883.67,0,0,15,Acente,Van,0.0,0.0,,1
259,62,72.0,2807448.0,14871.5,4,8,6,Acente,Binek araç,0.0,0.0,,1
260,63,100.0,137163.0,46049.5,7,199,8,Acente,Binek araç,0.0,0.0,,2
261,62,86.0,2043688.0,32217.0,2,99,3,Broker,Van,0.0,0.0,,1
262,61,116.0,2465897.0,32427.0,0,0,1,Acente,Binek araç,0.0,0.0,,1
263,60,61.0,2130588.0,26125.5,8,15,4,Acente,Binek araç,0.0,0.0,,1
264,59,61.0,1202024.0,27445.0,8,202,4,Acente,Van,0.0,0.0,,2
265,60,61.0,14751.0,23191.0,8,204,4,Acente,Van,20123.0,2.0,travel assistance,2
266,60,85.0,20300.0,33901.0,1,17,7,Broker,Van,9048.0,1.0,travel assistance,1
267,57,70.0,1551707.0,35743.0,0,0,2,Broker,Binek araç,0.0,0.0,,1
268,58,12.0,2699.0,12008.5,1,6,2,Acente,Motorsiklet,0.0,0.0,,1
269,58,5.0,1599.0,14761.0,0,0,4,Broker,Motorsiklet,0.0,0.0,,1
270,58,125.0,28070.0,29066.0,0,0,6,Broker,Van,0.0,0.0,,1
271,57,150.0,31800.0,32795.0,0,0,2,Broker,Binek araç,0.0,0.0,,1
272,54,75.0,1345065.0,27629.0,2,221,1,Broker,Binek araç,15515.0,2.0,complaint,2
273,53,94.0,15416.0,29436.5,0,0,6,Broker,Van,0.0,0.0,,1
274,52,112.0,14700.0,30706.0,13,216,7,Broker,Binek araç,0.0,0.0,,2
275,53,90.0,1689445.0,21229.75,7,59,6,Acente,Binek araç,36304.0,1.0,complaint,1
276,24,80.0,9119.0,21965.0,0,0,5,Broker,Motorsiklet,0.0,0.0,,1
277,21,100.0,15280.0,39019.0,0,0,1,Broker,Binek araç,0.0,0.0,,1
278,22,100.0,22100.0,22315.0,0,0,1,Broker,Binek araç,0.0,0.0,,1
279,49,110.0,23750.0,37206.33,2,1,3,Broker,Binek araç,0.0,0.0,,1
280,47,90.0,19379.0,34989.0,6,2,9,Acente,Binek araç,0.0,0.0,,0
281,48,60.0,9900.0,25329.33,0,0,4,Acente,Binek araç,0.0,0.0,,1
282,49,100.0,14980.0,34651.0,0,0,1,Acente,Binek araç,0.0,0.0,,1
283,48,85.0,16000.0,28956.0,0,0,2,Broker,Binek araç,0.0,0.0,,1
284,48,115.0,1593884.0,24237.0,1,0,4,Acente,Binek araç,0.0,0.0,,1
285,49,60.0,11075.0,23026.0,0,0,1,Acente,Binek araç,0.0,0.0,,1
286,48,100.0,2031421.0,30151.5,0,0,2,Acente,Binek araç,0.0,0.0,,1
287,46,90.0,1895054.0,29152.0,2,0,4,Acente,Binek araç,0.0,0.0,,1
288,44,95.0,12100.0,13302.0,0,0,2,Broker,Motorsiklet,0.0,0.0,,1
289,45,83.0,10150.0,19156.5,1,5,3,Broker,Binek araç,0.0,0.0,,1
290,42,70.0,16270.0,31006.0,3,0,16,Acente,Binek araç,0.0,0.0,,0
291,41,130.0,19295.0,34930.5,1,33,4,Broker,Binek araç,0.0,0.0,,1
292,41,120.0,26100.0,3128.0,0,0,1,Broker,Van,0.0,0.0,,1
293,42,5.0,251824.0,1617.0,1,0,10,Broker,Motorsiklet,0.0,0.0,,1
294,40,130.0,25800.0,29948.0,0,0,1,Acente,Binek araç,0.0,0.0,,1
295,41,110.0,27940.0,23492.0,0,0,2,Broker,Binek araç,0.0,0.0,,1
296,41,120.0,2810999.0,31555.5,0,0,2,Broker,Binek araç,0.0,0.0,,1
297,42,100.0,2423501.0,18363.0,2,2,2,Acente,Van,0.0,0.0,,1
298,31,130.0,16411.0,25205.0,1,74,2,Acente,Binek araç,0.0,0.0,,1
299,29,75.0,1257317.0,25516.0,2,199,2,Acente,Van,300386.0,2.0,complaint,2
300,32,136.0,3329745.0,33403.0,0,0,4,Acente,Binek araç,0.0,0.0,,1
301,41,115.0,19090.0,28406.67,0,0,5,Acente,Binek araç,0.0,0.0,,1
302,36,110.0,22410.0,19763.0,4,128,4,Broker,Binek araç,14357.0,2.0,travel assistance,2
303,76,115.0,27350.0,45253.5,4,0,4,Broker,Van,0.0,0.0,,1
